EPID,PartNumber
227040265,10701
227245264,10702
227474487,10703
227223975,10720
227479819,10721
228004093,10722
227637133,10723
227090031,10724
235986666,10725
235921902,10760
228178788,10761
227859305,10762
230306084,10802
230447389,10803
227220910,12469
227799201,12568
227402982,12569
227939916,12579
227042346,12587
227623169,12588
227965709,12590
228034248,12594
227551904,12595
236080678,12599
75809373,12771
227582188,12772
228053268,12773
227632890,12774
235567232,12909
235924992,14148
236192391,14149
228231448,14151
228041165,14152
227016101,14153
227430965,14156
228042889,14158
227796891,14159
228138635,14161
228095257,14162
228034573,14163
235634606,14210
228039672,14218
228114590,14220
228057762,14221
227210347,14222
235624874,14223
235945306,14245
227442082,14246
227472570,14249
227914134,14250
227064107,14251
226999009,14255
227022287,14256
235580415,14258
227041454,14259
236388753,14260
228069126,14261
228042862,14262
227256843,14263
235799121,14264
227466020,14266
228166194,14267
227910514,14278
235727028,14288
227470606,14298
227492512,14355
227960182,14356
227041434,14359
235959590,14365
227499571,14366
228037839,14378
227916710,14379
236289324,14385
227561938,14386
228197098,14468
227039726,14568
226985972,14576
228098940,14577
227632260,14578
228116718,14579
235727668,14580
235635796,14586
236174321,14587
228163976,14588
228164218,14589
227245354,14590
236054683,14594
228004133,14595
235568342,14641
227651736,14770
227487420,14771
227949617,14772
235981015,14773
227430251,14774
227908335,14801
228052757,14803
227912479,14804
227500582,14805
228085220,14806
227616635,14807
227462016,14811
227657653,14812
227660058,14813
228115278,14814
227197764,14815
235605030,14816
227051159,14817
228125104,14818
227986243,14819
227935037,14820
227482994,14821
228114940,14822
236327177,14824
227190585,14825
227944971,14826
227940974,14827
228130534,14829
228061548,14830
228036210,14833
227589063,14834
226923261,14835
227938519,14836
228131530,14839
235925082,14840
227479079,14841
227917507,14842
227232660,14843
235912710,14845
227558930,14846
227039706,14847
227639624,14848
228141556,14849
228066625,14850
227600548,14851
228081060,14852
227446706,14853
236147361,14854
227409741,14855
227862302,14856
227740591,14857
227480349,14858
228139600,14859
227959267,14860
227512682,14862
226978912,14863
227624859,14864
227975046,14868
235844131,14869
227999423,14870
228171463,14871
235931922,14909
112625234,15000
112526561,15001
115132170,15053
112834510,15054
112826371,15056
112773637,15057
112787285,15058
